,Unnamed:_0,Unnamed:_0,Unnamed:_0.1,MSHA_ID,Year,Mine_Name,Mine_State,Mine_County,Mine_Status,Mine_Type,Company_Type,Operation_Type,Operating_Company,Operating_Company_Address,Union_Code,Coal_Supply_Region,Production_(short_tons),Average_Employees,Labor_Hours,log_production
23,341,341,341,1518947,2013,Bull Creek Surface Mine,Kentucky (East),Magoffin,"Active, men working, not producing",Surface,Independent Producer Operator,Mine only,Kentucky Fuel Corporation,"P.O. Box 130, Mousie, KY 41839", ,Appalachia Central,786,2,227,6.666956792429207
24,202,202,202,1518903,2013,Job 22,Kentucky (East),Floyd,Permanently abandoned,Surface,Independent Producer Operator,Mine only,James River Coal Service Compa,"P.O. Box 189, Lackey, KY 41643", ,Appalachia Central,794,4,1617,6.677083461247136
25,663,663,663,3608705,2013,Laurel Ridge #1,Pennsylvania (Bituminous),Clearfield,"Active, men working, not producing",Surface,Independent Producer Operator,Mine only,Ramm Coal Inc.,"1092 Spruce Hill Road, Rockton, PA 15856", ,Appalachia Northern,836,1,457,6.728628613084702
26,697,697,697,3608984,2013,Elk County Mine,Pennsylvania (Bituminous),Elk,Active,Surface,Independent Producer Operator,Mine only,Jurassic Energy Inc,"361 Pinetop Road, Bigler, PA 16825", ,Appalachia Northern,870,2,950,6.76849321164863
27,824,824,824,3607630,2013,Olde Buck Mine,Pennsylvania (Anthracite),Schuylkill,Active,Surface,Independent Producer Operator,Mine only,Olde Buck Run Coal Company Inc,"500 Nelms St, P O Box 4210, Seltzer, PA 17974", ,Appalachia Northern,940,2,846,6.84587987526405
28,920,920,920,4002750,2013,Rex Mine No.1,Tennessee,Campbell,"Active, men working, not producing",Underground,Independent Producer Operator,Mine only,"Tiacme, Llc","5289 Stinking Creek Road, Pioneer, TN 37847", ,Appalachia Central,959,6,10018,6.8658910748834385
29,733,733,733,3608825,2013,Stitt,Pennsylvania (Bituminous),Indiana,Active,Surface,Independent Producer Operator,Mine only,Abm Mining Co. Inc,"3330 Johnston Rd, Smickburg, PA 16256", ,Appalachia Northern,977,1,163,6.884486652042782
30,466,466,466,1519359,2013,Bear Branch Mine Auger No. 1,Kentucky (East),Pike,Permanently abandoned,Surface,Independent Producer Operator,Mine only,"Hard Rock Energy, Llc","P.O. Box 887, Elkhorn City, KY 41522", ,Appalachia Central,1100,3,280,7.003065458786462
31,181,181,181,1519505,2013,3117,Kentucky (East),Clay,Temporarily closed,Surface,Independent Producer Operator,Mine only,"Black Hawk Mining, Inc.","221 Creek Road, Rural Valley, PA 16249", ,Appalachia Central,1185,3,1440,7.077498053569231
32,183,183,183,1519631,2013,Mine #1,Kentucky (East),Clay,Permanently abandoned,Surface,Independent Producer Operator,Mine only,"Greasy Mining, Llc","P.O. Box 217, Manchester, KY 40962", ,Appalachia Central,1190,6,1118,7.081708586105575
33,239,239,239,1518893,2013,#8 Wallins Creek Strip,Kentucky (East),Harlan,Permanently abandoned,Surface,Independent Producer Operator,Mine only,"Fox Knob Coal Company, Inc.","P.O. Box 81, Cranks, KY 40820", ,Appalachia Central,1195,3,1052,7.085901464365611
34,667,667,667,3609124,2013,Myers And Supko,Pennsylvania (Bituminous),Clearfield,"Active, men working, not producing",Surface,Independent Producer Operator,Mine only,Myers & Supko,"P.O. Box 51, Osceola Mills, PA 16666", ,Appalachia Northern,1224,2,145,7.1098794630722715
35,1161,1161,1161,4608849,2013,Dry Branch Surface No 1,West Virginia (Southern),Kanawha,Active,Surface,Independent Producer Operator,Mine only,Pritchard Mining Company Inc,"P.O. Box 3311, Charleston, WV 25333", ,Appalachia Central,1331,10,2580,7.193685818395112
36,483,483,483,1519722,2013,No. 11 Allen Branch Job,Kentucky (East),Pike,Active,Surface,Independent Producer Operator,Mine only,"Apex Energy, Inc.","7567 Upper Johns Creek Rd., Phelps, KY 41553", ,Appalachia Central,1335,2,242,7.19668657083435
37,1054,1054,1054,4406999,2013,Strip #13,Virginia,Wise,"Active, men working, not producing",Surface,Independent Producer Operator,Mine only,A & G Coal Corporation,"302 S. Jefferson St., Roanoke, VA 24011", ,Appalachia Central,1508,36,7606,7.318539548567902
38,909,909,909,3605104,2013,Mc Broom,Pennsylvania (Bituminous),Westmoreland,Active,Surface,Independent Producer Operator,Mine only,V P Smith Co Inc,"257 Derry Lane, Blairsville, PA 15717", ,Appalachia Northern,1516,1,530,7.323830566202317
39,860,860,860,3609259,2013,#2 Strip Mine,Pennsylvania (Anthracite),Schuylkill,Temporarily closed,Surface,Independent Producer Operator,Mine only,Neumeister Coal Company,"28 Frank Lane, Ashland, PA 17921", ,Appalachia Northern,1557,1,850,7.350516171833998
40,332,332,332,1519664,2013,Auger # 50,Kentucky (East),Letcher,"Active, men working, not producing",Surface,Independent Producer Operator,Mine only,Tackett & Edmonds Contracting,"9210 Elkhorn Creek Rd, Ashcamp, KY 41512", ,Appalachia Central,1560,2,475,7.352441100243583
41,596,596,596,3402105,2013,Calder Mine,Oklahoma,Le Flore,"Active, men working, not producing",Underground,Independent Producer Operator,Mine only,"Coal Creek Minerals, Llc","P.O. Box 160, Spiro, OK 74959", ,Interior,1566,6,11582,7.356279876550748
42,686,686,686,3609679,2013,Beard Job,Pennsylvania (Bituminous),Clearfield,Active,Surface,Independent Producer Operator,Mine only,Ramm Coal Inc,"1092 Spruce Hill Road, Rockton, PA 15856", ,Appalachia Northern,1640,1,671,7.402451520818244
43,1269,1269,1269,4609302,2013,Arco No. 1 Mine,West Virginia (Northern),Marion,"Active, men working, not producing",Underground,Independent Producer Operator,Mine only,"Dana Mining Company, Llc","308 Dents Run Road, Morgantown, WV 26501", ,Appalachia Northern,1659,4,3175,7.413970290190444
44,675,675,675,3609353,2013,Mill Job,Pennsylvania (Bituminous),Clearfield,"Active, men working, not producing",Surface,Independent Producer Operator,Mine only,"Fair Coal Company, Llc","360 Peaceful Endings Lane, Irvona, PA 16656", ,Appalachia Northern,1749,2,301,7.466799475018602
45,859,859,859,3609150,2013,Jett #2 Stripping,Pennsylvania (Anthracite),Schuylkill,Active,Surface,Independent Producer Operator,Mine only,Jett Contracting Co.,"231 Winfield Dr, Brockton, PA 17925", ,Appalachia Northern,1811,1,1497,7.501634457883413
46,177,177,177,1519027,2013,Dry Branch,Kentucky (East),Clay,Temporarily closed,Surface,Independent Producer Operator,Mine only,"Job Land Mining Of Kentucky, L","521 Crane Road, Somerset, KY 42501", ,Appalachia Central,1871,11,2953,7.534228326274089
47,1444,1444,1444,1519713,2013,# 1 Refuse,Refuse Recovery,Letcher,"Active, men working, not producing",Refuse,Independent Producer Operator,Mine only,King Brothers Coal Inc.,"P.O. Box 524, Hindman, KY 41822", ,Appalachia Central,1879,2,200,7.538494999413465
48,288,288,288,1519706,2013,No. 3,Kentucky (East),Knox,Permanently abandoned,Surface,Independent Producer Operator,Mine only,"D & R Coal, Inc.","247 Hooker Branch Rd., Barbourville, KY 40906", ,Appalachia Central,1914,3,345,7.5569505720129
49,1431,1431,1431,1519522,2013,Refuse Mine,Refuse Recovery,Floyd,"Active, men working, not producing",Refuse,Independent Producer Operator,Mine only,Viking Remining Llc,"2005 Webster Road, Summersville, WV 26651", ,Appalachia Central,1986,4,542,7.593877844605118
50,340,340,340,1518442,2013,Auger Mine No 28,Kentucky (East),Magoffin,Temporarily closed,Surface,Independent Producer Operator,Mine only,B & H Coal Co Inc,"P.O. Box 221, Jackson, KY 41339", ,Appalachia Central,2058,2,538,7.629489916393995
51,641,641,641,3605208,2013,Ancient Sun Strip Saylor-Mckin,Pennsylvania (Bituminous),Clarion,Active,Surface,Independent Producer Operator,Mine only,Ancient Sun Inc,"P.O. Box 129, Shippenville, PA 16254", ,Appalachia Northern,2058,2,1300,7.629489916393995
52,1255,1255,1255,4609386,2013,Quarry No 2,West Virginia (Southern),Mcdowell,Active,Surface,Independent Producer Operator,Mine only,"Gmax Quarry, Inc.","3324 Pennsylvania Ave, Suite B, Charleston, WV 25302", ,Appalachia Central,2082,5,3701,7.641084249174914
53,674,674,674,3609341,2013,Roy #2,Pennsylvania (Bituminous),Clearfield,Active,Surface,Independent Producer Operator,Mine only,Roy Coal Co.,"1115 Poland Ave, Altoona, PA 16601", ,Appalachia Northern,2130,2,851,7.6638772587034705
